Date,s&p(log),vix
2020-09-14,0.012661315,25.85
2020-09-15,0.005205812,25.59
2020-09-16,-0.004629658,26.040001
2020-09-17,-0.008447955,26.459999
2020-09-18,-0.011245565,25.83
2020-09-21,-0.011638591,27.780001
2020-09-22,0.010463014,26.860001
2020-09-23,-0.024007294,28.58
2020-09-24,0.002982954,28.51
2020-09-25,0.015850478,26.379999
2020-09-28,0.015982151,26.190001
2020-09-29,-0.004824245,26.27
2020-09-30,0.008219834,26.370001
2020-10-01,0.005278935,26.700001
2020-10-02,-0.009623775,27.629999
2020-10-05,0.017813057,27.959999
2020-10-06,-0.014072027,29.48
2020-10-07,0.017247172,28.059999
2020-10-08,0.007978173,26.360001
2020-10-09,0.008755149,25
2020-10-12,0.016282508,25.07
2020-10-13,-0.00632688,26.07
2020-10-14,-0.006645169,26.4
2020-10-15,-0.001528971,26.969999
2020-10-16,0.000134919,27.41
2020-10-19,-0.016464624,29.18
2020-10-20,0.004716138,29.35
2020-10-21,-0.002198097,28.65
2020-10-22,0.005205374,28.110001
2020-10-23,0.003439866,27.549999
2020-10-26,-0.018764495,32.459999
2020-10-27,-0.003030194,33.349998
2020-10-28,-0.035925571,40.279999
2020-10-29,0.011876501,37.59
2020-10-30,-0.012203669,38.02
2020-11-02,0.012242942,37.130001
2020-11-03,0.017642761,35.549999
2020-11-04,0.021807517,29.57
2020-11-05,0.019273263,27.58
2020-11-06,-0.000287754,24.860001
2020-11-09,0.011631958,25.75
2020-11-10,-0.001400783,24.799999
2020-11-11,0.007622761,23.450001
2020-11-12,-0.010028679,25.35
2020-11-13,0.013518577,23.1
2020-11-16,0.011580732,22.450001
2020-11-17,-0.004803476,22.709999
2020-11-18,-0.011631213,23.84
2020-11-19,0.003938654,23.110001
2020-11-20,-0.006815716,23.700001
2020-11-23,0.005620095,22.66
2020-11-24,0.016032508,21.639999
2020-11-25,-0.001585672,21.25
2020-11-27,0.002394057,20.84
2020-11-30,-0.004606081,20.57
2020-12-01,0.011208122,20.77
2020-12-02,0.001789549,21.17
2020-12-03,-0.000624341,21.280001
2020-12-04,0.008797424,20.790001
2020-12-07,-0.001937471,21.299999
2020-12-08,0.002783261,20.68
2020-12-09,-0.007980984,22.27
2020-12-10,-0.001285943,22.52
2020-12-11,-0.001265761,23.309999
2020-12-14,-0.004368796,24.719999
2020-12-15,0.012838448,22.889999
2020-12-16,0.001771278,22.5
2020-12-17,0.005741127,21.93
2020-12-18,-0.003517279,21.57
2020-12-21,-0.003913931,25.16
2020-12-22,-0.002075268,24.23
2020-12-23,0.000745533,23.309999
2020-12-24,0.003530337,21.530001
2020-12-28,0.008684695,21.700001
2020-12-29,-0.002229847,23.08
2020-12-30,0.001340648,22.77
2020-12-31,0.006418197,22.75
2021-01-04,-0.014864718,26.969999
2021-01-05,0.007057576,25.34
2021-01-06,0.005693661,25.07
2021-01-07,0.014738221,22.370001
2021-01-08,0.005476866,21.559999
2021-01-11,-0.006576374,24.08
2021-01-12,0.000415746,23.33
2021-01-13,0.002273018,22.209999
2021-01-14,-0.0037605,23.25
2021-01-15,-0.007215991,24.34
2021-01-19,0.008103481,23.24
2021-01-20,0.013839369,21.58
2021-01-21,0.000316681,21.32
2021-01-22,-0.003015127,21.91
2021-01-25,0.003609282,23.190001
2021-01-26,-0.001489946,23.02
2021-01-27,-0.02601329,37.209999
2021-01-28,0.009713335,30.209999
2021-01-29,-0.019500406,33.09
2021-02-01,0.015924269,30.24
2021-02-02,0.013802542,25.559999
2021-02-03,0.001008296,22.91
2021-02-04,0.01079483,21.77
2021-02-05,0.003889897,20.870001
2021-02-08,0.007372105,21.24
2021-02-09,-0.001114118,21.629999
2021-02-10,-0.00034522,21.99
2021-02-11,0.001661075,21.25
2021-02-12,0.004699921,19.969999
2021-02-16,-0.000569437,21.459999
2021-02-17,-0.000320451,21.5
2021-02-18,-0.004425587,22.49
2021-02-19,-0.001856617,22.049999
2021-02-22,-0.007762903,23.450001
2021-02-23,0.001255499,23.110001
2021-02-24,0.011287715,21.34
2021-02-25,-0.024783435,28.889999
2021-02-26,-0.004761484,27.950001
2021-03-01,0.02351213,23.35
2021-03-02,-0.008113671,24.1
2021-03-03,-0.013152318,26.67
2021-03-04,-0.013508038,28.57
2021-03-05,0.019308364,24.66
2021-03-08,-0.005373684,25.469999
2021-03-09,0.014055441,24.030001
2021-03-10,0.006012174,22.559999
2021-03-11,0.010341818,21.91
2021-03-12,0.001014883,20.690001
2021-03-15,0.006470977,20.030001
2021-03-16,-0.001570922,19.790001
